Country,Year,Gini coefficient (before tax) (World Inequality Database)
Afghanistan,2009,0.49264622
Albania,2009,0.4553699
Algeria,2009,0.518175
Andorra,2009,0.46272305
Angola,2009,0.59568614
Antigua and Barbuda,2009,0.6695253
Argentina,2009,0.5740471
Armenia,2009,0.4532233
Australia,2009,0.48969463
Austria,2009,0.4249918
Azerbaijan,2009,0.4266881
Bahamas,2009,
Bahrain,2009,0.6728335
Bangladesh,2009,0.51867694
Barbados,2009,0.6695253
Belarus,2009,0.41728604
Belgium,2009,0.42110208
Belize,2009,
Benin,2009,0.608908
Bhutan,2009,0.5558932
Bolivia,2009,
Bosnia and Herzegovina,2009,0.48221862
Botswana,2009,0.75310284
Brazil,2009,0.6765495
Brunei,2009,0.43151122
Bulgaria,2009,0.46425495
Burkina Faso,2009,0.5834822
Burundi,2009,0.52685046
Cambodia,2009,0.670718
Cameroon,2009,0.60100234
Canada,2009,0.4973049
Cape Verde,2009,0.64173234
Central African Republic,2009,0.72613317
Chad,2009,0.5984801
Chile,2009,0.7377114
China,2009,0.5662719
Colombia,2009,0.7129908
Comoros,2009,0.61169124
Congo,2009,0.65526843
Costa Rica,2009,0.66600186
Cote d'Ivoire,2009,0.60913056
Croatia,2009,0.45321637
Cuba,2009,
Cyprus,2009,0.45318633
Czechia,2009,0.34936064
Democratic Republic of Congo,2009,0.5906381
Denmark,2009,0.37197143
Djibouti,2009,0.6167807
Dominica,2009,0.6695253
Dominican Republic,2009,0.6914372
East Timor,2009,0.49258116
Ecuador,2009,0.6290547
Egypt,2009,0.54288876
El Salvador,2009,0.65298
Equatorial Guinea,2009,
Eritrea,2009,
Estonia,2009,0.46585938
Eswatini,2009,0.6704259
Ethiopia,2009,0.52378964
Fiji,2009,0.53559214
Finland,2009,0.41238955
France,2009,0.4509801
Gabon,2009,0.5994335
Gambia,2009,0.619202
Georgia,2009,0.55450267
Germany,2009,0.47291893
Ghana,2009,0.58951426
Greece,2009,0.4468961
Greenland,2009,0.53559214
Grenada,2009,0.66952527
Guatemala,2009,
Guinea,2009,0.5652233
Guinea-Bissau,2009,0.53393835
Guyana,2009,
Haiti,2009,
Honduras,2009,
Hungary,2009,0.42168337
Iceland,2009,0.39871123
India,2009,0.60139275
Indonesia,2009,0.584426
Iran,2009,0.5972051
Iraq,2009,0.63000494
Ireland,2009,0.4149828
Israel,2009,0.61505306
Italy,2009,0.48379463
Jamaica,2009,
Japan,2009,0.50844914
Jordan,2009,0.592522
Kazakhstan,2009,0.51783526
Kenya,2009,0.6401798
Kiribati,2009,0.5355922
Kosovo,2009,0.4783718
Kuwait,2009,0.6296201
Kyrgyzstan,2009,0.4906882
Laos,2009,0.57538116
Latvia,2009,0.49922776
Lebanon,2009,0.6408819
Lesotho,2009,0.6336821
Liberia,2009,0.5393676
Libya,2009,
Liechtenstein,2009,0.46272302
Lithuania,2009,0.49294713
Luxembourg,2009,0.46313265
Madagascar,2009,0.60755706
Malawi,2009,0.6372642
Malaysia,2009,0.5465704
Maldives,2009,0.5637696
Mali,2009,0.50630057
Malta,2009,0.41594085
Marshall Islands,2009,0.53559214
Mauritania,2009,0.5231326
Mauritius,2009,0.5745195
Mexico,2009,0.7492575
Micronesia (country),2009,0.5355921
Moldova,2009,0.502596
Monaco,2009,0.46272305
Mongolia,2009,0.5509706
Montenegro,2009,0.4604076
Morocco,2009,0.5640937
Mozambique,2009,0.6385249
Myanmar,2009,
Namibia,2009,0.7578548
Nauru,2009,0.53559214
Nepal,2009,0.5163798
Netherlands,2009,0.37712812
New Caledonia,2009,0.5355921
New Zealand,2009,0.48454916
Nicaragua,2009,
Niger,2009,0.5061645
Nigeria,2009,0.5323248
North Korea,2009,
North Macedonia,2009,0.47417286
Norway,2009,0.3610738
Oman,2009,0.66745704
Pakistan,2009,0.51072824
Palau,2009,0.53559214
Palestine,2009,0.63019097
Panama,2009,
Papua New Guinea,2009,0.57454664
Paraguay,2009,
Peru,2009,0.6851912
Philippines,2009,0.58897984
Poland,2009,0.47639614
Portugal,2009,0.48953027
Puerto Rico,2009,0.66952527
Qatar,2009,0.6668932
Romania,2009,0.53620005
Russia,2009,0.5910376
Rwanda,2009,0.658457
Saint Kitts and Nevis,2009,0.6695253
Saint Lucia,2009,0.6695253
Saint Vincent and the Grenadines,2009,0.6695254
Samoa,2009,0.5355921
San Marino,2009,0.46272305
Sao Tome and Principe,2009,0.48460367
Saudi Arabia,2009,
Senegal,2009,0.5734845
Serbia,2009,0.5720571
Seychelles,2009,0.6104834
Sierra Leone,2009,0.51890814
Singapore,2009,0.50209326
Slovakia,2009,0.39728776
Slovenia,2009,0.4005846
Solomon Islands,2009,0.5355922
Somalia,2009,
South Africa,2009,0.6663515
South Korea,2009,0.5110036
South Sudan,2009,0.6215308
Spain,2009,0.45619515
Sri Lanka,2009,0.5478543
Sudan,2009,0.5319134
Suriname,2009,
Sweden,2009,0.3912485
Switzerland,2009,0.38063377
Syria,2009,0.65929794
Taiwan,2009,0.61185277
Tajikistan,2009,0.5046348
Tanzania,2009,0.5674258
Thailand,2009,0.640014
Togo,2009,0.62126577
Tonga,2009,0.5355922
Trinidad and Tobago,2009,
Tunisia,2009,0.6122483
Turkey,2009,0.57979006
Turkmenistan,2009,
Tuvalu,2009,0.53559214
Uganda,2009,0.6233373
Ukraine,2009,0.3692024
United Arab Emirates,2009,0.6711364
United Kingdom,2009,0.49790516
United States,2009,0.5569537
Uruguay,2009,0.5809495
Uzbekistan,2009,
Vanuatu,2009,0.5355922
Venezuela,2009,
Vietnam,2009,0.5969384
Yemen,2009,0.71880466
Zambia,2009,0.6780832
Zimbabwe,2009,0.61927956
